epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,253.862,0.61255,1.32294,0.95673,0.89386,0.86798,0.92821,0.76896,0.60666,0.76106,0.93916,9.5843e-05,9.5843e-05,9.5843e-05
15,271.82,0.58644,1.23631,0.94668,0.89406,0.93157,0.94451,0.76993,0.61543,0.68596,0.94258,9.4754e-05,9.4754e-05,9.4754e-05
16,289.511,0.60976,1.16919,0.98605,0.89014,0.90873,0.94678,0.77181,0.60172,0.75936,0.94417,9.3665e-05,9.3665e-05,9.3665e-05
17,307.3,0.56941,1.1442,0.947,0.91159,0.92734,0.95726,0.78542,0.59822,0.67204,0.93975,9.2576e-05,9.2576e-05,9.2576e-05
18,325.093,0.56572,1.10709,0.9382,0.93204,0.92383,0.95485,0.79495,0.58683,0.68589,0.93912,9.1487e-05,9.1487e-05,9.1487e-05
19,342.861,0.56857,1.07276,0.95874,0.89889,0.88912,0.94468,0.79533,0.58027,0.64486,0.93298,9.0398e-05,9.0398e-05,9.0398e-05
20,360.626,0.56385,1.10737,0.92957,0.88081,0.90442,0.93468,0.7802,0.58442,0.67713,0.92932,8.9309e-05,8.9309e-05,8.9309e-05
21,378.584,0.57941,1.07636,0.95061,0.86832,0.91048,0.93336,0.77835,0.56506,0.64046,0.92692,8.822e-05,8.822e-05,8.822e-05
22,396.628,0.52149,1.01012,0.90872,0.91948,0.88994,0.94835,0.80237,0.55365,0.64467,0.93097,8.7131e-05,8.7131e-05,8.7131e-05
23,414.374,0.52769,1.00721,0.93043,0.89443,0.93338,0.9542,0.79206,0.55181,0.60165,0.92292,8.6042e-05,8.6042e-05,8.6042e-05
24,432.008,0.5164,0.9497,0.91674,0.90151,0.93707,0.95973,0.80096,0.56305,0.61139,0.92055,8.4953e-05,8.4953e-05,8.4953e-05
25,450.248,0.50037,0.91506,0.90476,0.8764,0.93672,0.94782,0.79843,0.54063,0.57023,0.91066,8.3864e-05,8.3864e-05,8.3864e-05
26,469.706,0.48801,0.88566,0.89469,0.91146,0.9406,0.95839,0.82953,0.52602,0.59945,0.90559,8.2775e-05,8.2775e-05,8.2775e-05
27,508.539,0.52754,0.90489,0.91606,0.89503,0.93835,0.9548,0.79994,0.5877,0.608,0.92849,8.1686e-05,8.1686e-05,8.1686e-05
28,550.909,0.51179,0.8715,0.91598,0.93383,0.9164,0.96181,0.80358,0.5532,0.56732,0.92034,8.0597e-05,8.0597e-05,8.0597e-05
29,580.376,0.5223,0.86171,0.91197,0.87221,0.94633,0.9503,0.79274,0.56473,0.56287,0.93301,7.9508e-05,7.9508e-05,7.9508e-05
